City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Srednekolymsk,RU,67.45,153.6833,-32.58,84,100,3.76,overcast clouds
175,Toronto,CA,43.7001,-79.4163,25.0,68,98,4.7,overcast clouds
176,Sitka,US,57.0531,-135.33,41.0,52,75,4.61,broken clouds
177,Vestmannaeyjar,IS,63.4427,-20.2734,31.28,94,83,8.59,broken clouds
178,Kruisfontein,ZA,-34.0033,24.7314,60.01,90,0,3.51,clear sky
179,Rawson,AR,-43.3002,-65.1023,60.69,59,6,16.87,clear sky
180,Norden,DE,53.6,7.2,25.0,85,99,1.14,overcast clouds
181,Touros,BR,-5.1989,-35.4608,78.8,83,20,4.61,few clouds
182,Kidal,ML,18.4411,1.4078,64.06,24,0,8.84,clear sky
183,San Bartolome De Tirajana,ES,27.9248,-15.5733,64.4,72,75,23.02,broken clouds
184,Qasigiannguit,GL,68.8193,-51.1922,6.8,61,90,8.05,overcast clouds
185,Torbay,CA,47.6666,-52.7314,28.99,93,90,8.05,overcast clouds
186,Constitucion,CL,-35.3333,-72.4167,60.3,93,49,7.85,scattered clouds
187,Okha,RU,53.5739,142.9478,-4.2,90,100,18.61,overcast clouds
188,Nisia Floresta,BR,-6.0911,-35.2086,78.8,83,20,6.91,few clouds
189,Road Town,VG,18.4167,-64.6167,77.0,83,40,10.36,scattered clouds
190,Palmas,BR,-10.2128,-48.3603,75.2,100,20,3.44,few clouds
191,Taizhou,CN,32.4933,119.9106,48.99,68,100,2.39,overcast clouds
192,Alofi,NU,-19.0595,-169.9187,82.4,74,100,12.66,moderate rain
193,Marawi,PH,7.9986,124.2928,80.01,80,43,3.0,scattered clouds
194,Bengkulu,ID,-3.8004,102.2655,73.81,92,100,9.82,overcast clouds
195,Gazanjyk,TM,39.2446,55.5154,45.99,71,15,13.69,few clouds
196,Prince Rupert,CA,54.3161,-130.3201,41.0,75,1,3.44,clear sky
197,Copiapo,CL,-27.3667,-70.3333,62.6,82,75,12.66,broken clouds
198,Virgilio,IT,45.1195,10.7905,41.0,93,100,5.01,heavy intensity rain
199,Yei,SS,4.095,30.6779,69.26,25,9,1.05,clear sky
200,Usinsk,RU,65.9939,57.5281,-1.17,93,100,9.53,overcast clouds
201,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,40,8.05,scattered clouds
202,Lithgow,AU,-33.4833,150.15,62.01,43,93,4.9,overcast clouds
203,Kodinsk,RU,58.6881,99.1844,-42.5,77,44,2.08,scattered clouds
204,Mitu,CO,1.1983,-70.1733,72.95,95,74,2.55,broken clouds
205,El Reten,CO,10.6114,-74.2682,84.2,54,20,14.97,few clouds
206,Medina,SA,24.4686,39.6142,59.0,26,0,8.05,clear sky
207,Port Lincoln,AU,-34.7333,135.8667,66.7,62,65,13.73,broken clouds
208,Manta,EC,-0.95,-80.7333,77.0,94,90,3.44,light rain
209,Altay,CN,47.8667,88.1167,8.76,76,0,3.13,clear sky
210,Severo-Kurilsk,RU,50.6789,156.125,25.18,95,100,28.63,light snow
211,Codrington,AU,-38.2667,141.9667,65.39,57,1,9.01,clear sky
212,Tello,CO,3.0669,-75.1378,75.79,48,0,6.24,clear sky
213,Acajutla,SV,13.5928,-89.8275,80.6,54,20,4.9,few clouds
214,Cherskiy,RU,68.75,161.3,-35.7,83,0,1.16,clear sky
215,Chiredzi,ZW,-21.05,31.6667,73.04,92,98,5.06,overcast clouds
216,Cayenne,GF,4.9333,-52.3333,80.6,89,75,8.05,broken clouds
217,Paamiut,GL,61.994,-49.6678,23.92,89,0,15.23,clear sky
218,Kavieng,PG,-2.5744,150.7967,83.41,71,97,14.05,overcast clouds
219,Mangrol,IN,21.1167,70.1167,61.38,32,0,10.31,clear sky
220,Merauke,ID,-8.4667,140.3333,83.05,79,100,14.5,overcast clouds
221,Saint George,US,37.1041,-113.5841,50.0,50,1,2.26,clear sky
222,Daura,NG,11.5538,11.4085,65.44,27,0,8.72,clear sky
223,Saint-Georges,GD,12.0564,-61.7485,78.8,83,20,23.02,few clouds
224,Sinnamary,GF,5.3833,-52.95,77.99,87,100,14.65,overcast clouds
225,Bagdarin,RU,54.4333,113.6,-28.5,76,0,2.42,clear sky
226,Gimli,CA,50.6336,-96.9907,23.0,93,100,4.61,light snow
227,Tautira,PF,-17.7333,-149.15,87.8,58,75,9.22,broken clouds
228,Harrisburg,US,40.2737,-76.8844,28.0,50,1,3.44,clear sky
229,Auki,SB,-8.7676,160.7034,82.87,82,100,13.76,light rain
230,Verkhniy Avzyan,RU,53.5289,57.5372,15.57,95,73,1.21,broken clouds
231,Natal,BR,-5.795,-35.2094,78.8,83,20,6.91,few clouds
232,Geraldton,AU,-28.7667,114.6,95.0,23,0,19.57,clear sky
233,Honiara,SB,-9.4333,159.95,81.95,82,100,9.24,heavy intensity rain
234,Dudinka,RU,69.4058,86.1778,-36.06,78,0,7.14,clear sky
235,Pavullo Nel Frignano,IT,44.3315,10.835,39.99,100,100,11.5,light rain
236,Dong Hoi,VN,17.4833,106.6,68.58,89,100,7.02,overcast clouds
237,Bonfim,BR,3.0833,-59.95,79.59,71,61,8.7,broken clouds
238,Callaway,US,30.153,-85.5699,59.0,77,75,12.66,broken clouds
239,Kvitok,RU,56.0724,98.4813,-40.95,79,26,2.17,scattered clouds
240,Kaitangata,NZ,-46.2817,169.8464,61.0,80,100,15.01,overcast clouds
241,Clive,US,41.603,-93.7241,33.01,93,90,12.66,light rain
242,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-4.0,90,30,4.36,scattered clouds
243,Boras,SE,57.721,12.9401,17.6,86,0,1.14,clear sky
244,San Andres,CO,12.5847,-81.7006,80.6,74,40,13.8,scattered clouds
245,Mandalgovi,MN,45.7625,106.2708,6.89,86,87,17.52,overcast clouds
246,Bubaque,GW,11.2833,-15.8333,79.3,62,96,12.71,overcast clouds
247,Bosaso,SO,11.2842,49.1816,73.04,69,72,5.39,broken clouds
248,Stanghelle,NO,60.5528,5.7357,27.0,93,100,1.95,snow
249,Behbahan,IR,30.5959,50.2417,50.67,63,0,4.59,clear sky
250,Rocha,UY,-34.4833,-54.3333,64.62,90,100,20.83,moderate rain
251,Le Vauclin,MQ,14.5452,-60.8388,77.0,83,75,8.05,broken clouds
252,Nyurba,RU,63.2842,118.3319,-39.51,81,100,3.0,overcast clouds
253,Talnakh,RU,69.4865,88.3972,-31.23,71,0,6.87,clear sky
254,Maridi,SS,4.9158,29.4742,73.4,24,100,3.76,overcast clouds
255,Avera,US,33.194,-82.5271,48.2,46,1,5.75,clear sky
256,Busca,IT,44.5181,7.4743,41.0,93,90,4.61,light rain
257,Bilma,NE,18.6853,12.9164,57.99,31,0,3.78,clear sky
258,Noyabrsk,RU,63.1994,75.4507,-19.21,85,100,21.54,overcast clouds
259,Luderitz,NA,-26.6481,15.1594,65.05,66,0,18.1,clear sky
260,Salamiyah,SY,35.0113,37.0532,50.68,63,100,23.94,overcast clouds
261,Cururupu,BR,-1.8283,-44.8683,76.89,88,100,3.15,overcast clouds
262,Gao,ML,16.6362,1.637,66.99,22,0,10.96,clear sky
263,Beloha,MG,-25.1667,45.05,74.46,84,0,4.0,clear sky
264,Pokhara,NP,28.2333,83.9833,46.92,49,0,3.69,clear sky
265,Ourossogui,SN,15.6064,-13.3211,73.4,28,0,2.3,clear sky
266,Khudumelapye,BW,-23.8833,24.75,70.66,79,69,5.41,broken clouds
267,East London,ZA,-33.0153,27.9116,70.56,85,69,3.49,broken clouds
268,Dafeng,CN,23.4517,108.5881,59.92,67,95,4.05,overcast clouds
269,Loukhi,RU,66.0764,33.0381,10.9,96,100,5.41,light snow
270,Lata,PT,40.1629,-8.3327,55.99,88,100,1.99,overcast clouds
271,Georgetown,MY,5.4112,100.3354,78.8,83,20,6.46,few clouds
272,Sumedang,ID,-6.8592,107.9207,75.81,80,83,3.89,broken clouds
273,Mayo,US,38.8876,-76.5119,30.99,59,1,3.44,clear sky
274,Husavik,IS,66.0449,-17.3389,14.0,85,90,4.61,overcast clouds
275,Antalaha,MG,-14.9003,50.2788,74.97,89,2,4.5,clear sky
276,Elat,IL,29.5581,34.9482,53.6,66,0,3.2,clear sky
277,Pimentel,PE,-6.8367,-79.9342,75.2,64,0,13.8,clear sky
278,Saint-Leu,RE,-21.15,55.2833,75.99,61,1,1.66,clear sky
279,Hoopstad,ZA,-27.8327,25.9083,69.73,73,100,6.22,overcast clouds
280,Bitung,ID,1.4451,125.1824,78.8,89,40,2.3,scattered clouds
281,Puerto Colombia,CO,10.9878,-74.9547,78.8,73,0,16.11,clear sky
282,Mandera,KE,3.9366,41.867,71.64,68,13,9.66,few clouds
283,Ust-Tsilma,RU,65.441,52.1498,4.3,93,100,9.28,overcast clouds
284,Exeter,GB,50.7236,-3.5275,39.0,90,97,15.21,overcast clouds
285,Richards Bay,ZA,-28.783,32.0377,73.69,95,88,4.23,light rain
286,Sabang,ID,5.8933,95.3214,80.8,78,62,20.67,broken clouds
287,Lorengau,PG,-2.0226,147.2712,83.5,79,100,10.83,overcast clouds
288,Turayf,SA,31.6725,38.6637,39.2,81,0,11.5,clear sky
289,Kailua,US,21.4022,-157.7394,80.6,65,75,14.97,broken clouds
290,San Cristobal,VE,7.7669,-72.225,65.48,70,90,0.98,overcast clouds
291,Lola,GN,7.8,-8.5333,69.62,82,0,2.66,clear sky
292,Acapulco,MX,16.8634,-99.8901,84.2,74,40,4.61,scattered clouds
293,Zuidhorn,NL,53.2467,6.4028,25.0,93,90,4.61,fog
294,Alta Floresta,BR,-9.8756,-56.0861,72.37,95,86,2.35,overcast clouds
295,Charkhi Dadri,IN,28.6,76.2667,46.33,48,0,0.2,clear sky
296,Marienburg,PL,54.0359,19.0266,26.01,81,14,8.01,few clouds
297,Tongliao,CN,43.6125,122.2653,0.7,92,91,7.34,overcast clouds
298,Carnarvon,AU,-24.8667,113.6333,84.2,79,0,5.75,clear sky
299,Whitehorse,CA,60.7161,-135.0538,-4.0,77,75,2.3,light snow
300,Portland,US,45.5234,-122.6762,48.99,81,90,13.8,overcast clouds
301,Buala,SB,-8.145,159.5921,85.48,72,100,16.6,overcast clouds
302,Sur,OM,22.5667,59.5289,65.03,52,0,2.95,clear sky
303,Neuquen,AR,-38.9516,-68.0591,62.6,72,75,11.5,broken clouds
304,Caravelas,BR,-17.7125,-39.2481,75.36,85,0,5.08,clear sky
305,Aklavik,CA,68.2191,-135.0107,-16.6,76,90,5.75,overcast clouds
306,Buin,CL,-33.7333,-70.75,70.0,82,75,10.36,broken clouds
307,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.86,78,0,21.54,clear sky
308,Cobija,BO,-11.0267,-68.7692,73.56,94,23,2.08,few clouds
309,Cavalcante,BR,-13.7975,-47.4583,70.61,68,100,1.41,overcast clouds
310,Mehamn,NO,71.0357,27.8492,26.6,80,0,8.05,light snow
311,Plover,US,44.4564,-89.544,30.99,74,90,17.27,overcast clouds
312,Najran,SA,17.4924,44.1277,59.0,29,0,2.8,clear sky
313,Kamenka,RU,51.3223,42.7678,35.01,93,100,4.0,overcast clouds
314,Zhangye,CN,38.9342,100.4517,18.86,71,0,3.65,clear sky
315,Arman,RU,59.7,150.1667,-11.88,78,100,18.28,overcast clouds
316,Hamilton,US,39.1834,-84.5333,32.0,93,90,14.97,fog
317,Coquimbo,CL,-29.9533,-71.3436,66.2,82,90,6.91,overcast clouds
318,Linxia,CN,35.6003,103.2064,23.52,80,79,1.88,broken clouds
319,Manturovo,RU,58.3353,44.7619,20.23,97,100,8.52,overcast clouds
320,Zhangjiakou,CN,40.81,114.8794,22.87,83,0,1.43,clear sky
321,Rzeszow,PL,50.0413,21.999,26.6,86,75,8.05,light snow
322,Ati,TD,13.2154,18.3353,68.92,23,0,10.22,clear sky
323,Kahului,US,20.8947,-156.47,78.8,57,40,18.41,scattered clouds
324,Chandur Bazar,IN,21.2417,77.7456,55.85,31,0,2.75,clear sky
325,Mersing,MY,2.4312,103.8405,77.0,83,40,6.91,scattered clouds
326,Fallon,US,39.4735,-118.7774,44.6,61,40,5.75,scattered clouds
327,Masiga,PH,13.3607,121.8278,78.01,67,83,11.01,broken clouds
328,Pontes E Lacerda,BR,-15.2261,-59.3353,73.92,92,100,3.96,heavy intensity rain
329,Hasaki,JP,35.7333,140.8333,43.0,42,20,11.5,few clouds
330,Ignacio Zaragoza,MX,28.3833,-107.2167,52.0,44,0,9.6,clear sky
331,Lebu,CL,-37.6167,-73.65,56.77,84,12,11.41,few clouds
332,La Ronge,CA,55.1001,-105.2842,12.2,85,12,1.14,few clouds
333,Taoudenni,ML,22.6783,-3.9836,66.4,25,5,7.52,clear sky
334,Orcopampa,PE,-15.2661,-72.3417,45.79,63,100,4.29,overcast clouds
335,Chamonix-Mont-Blanc,FR,45.9238,6.8693,37.99,97,100,1.5,light snow
336,Jieshi,CN,22.8134,115.8257,59.0,70,0,14.38,clear sky
337,Salalah,OM,17.0151,54.0924,66.2,68,0,3.44,clear sky
338,Abashiri,JP,44.0213,144.2697,21.99,79,20,5.75,few clouds
339,Fairbanks,US,64.8378,-147.7164,-2.99,77,90,0.78,light snow
340,Hofn,IS,64.2539,-15.2082,21.69,82,0,18.23,clear sky
341,Manzanillo,CU,20.3433,-77.1167,70.43,73,0,15.59,clear sky
342,Tilichiki,RU,60.4667,166.1,-10.53,91,91,15.73,overcast clouds
343,Teya,RU,60.3778,92.6267,-36.81,76,0,1.63,clear sky
344,Xining,CN,36.6167,101.7667,12.63,75,0,2.95,clear sky
345,Disna,BY,55.568,28.1971,22.14,97,99,9.91,overcast clouds
346,Flin Flon,CA,54.7682,-101.865,15.8,86,90,3.44,light snow
347,Kincardine,GB,56.0667,-3.7167,33.8,86,90,3.44,overcast clouds
348,Nehe,CN,48.4833,124.8333,-12.41,88,98,7.85,overcast clouds
